field_by_id,sample_name,lat,lon,org_c,stock_c
SNW-Field-2,PRO2_42,45.51187641,-116.9980688,3.55,28.92452745
SNW-Field-2,PRO2_42,45.51187641,-116.9980688,3.55,28.92452745
SNW-Field-2,PRO2_43,45.50827089,-116.9915037,3.2,34.52329055
SNW-Field-2,PRO2_44,45.51346762,-116.9913454,3.73,43.96502406
SNW-Field-2,PRO2_45,45.50881826,-116.9987549,3.62,34.04151031
SNW-Field-2,PRO2_46,45.51189783,-116.9957266,3.24,35.68523116
SNW-Field-2,PRO2_47,45.50724746,-116.9928821,3.5,35.39281372
SNW-Field-2,PRO2_48,45.50837443,-117.0022466,3.59,38.96204532
SNW-Field-2,PRO2_49,45.50796092,-116.9996909,3.19,32.1552891
SNW-Field-2,PRO2_50,45.51013881,-117.0018577,3.2,37.40881933
SNW-Field-2,PRO2_51,45.50923598,-116.9950739,3.54,34.31524907
SNW-Field-2,PRO2_52,45.50872894,-116.9928985,3.18,36.15090911
SNW-Field-2,PRO2_53,45.50827462,-117.0025152,3.18,39.42804534
SNW-Field-2,PRO2_54,45.51078981,-116.9926595,2.83,26.70370082
SNW-Field-2,PRO2_55,45.50816952,-116.9986683,3.6,37.09965554
SNW-Field-2,PRO2_56,45.50952256,-116.9987822,3.62,33.69176875
SNW-Field-2,PRO2_57,45.5138589,-116.992012,3.58,41.27465494
SNW-Field-2,PRO2_57,45.5138589,-116.992012,3.58,41.27465494
SNW-Field-3,PRO3_7,45.50810083,-117.0135335,3.63,37.17501421
SNW-Field-3,PRO3_13,45.51033946,-117.0035069,3.56,33.93587934
SNW-Field-3,PRO3_17,45.5076219,-117.0114751,3.24,34.43311777
SNW-Field-3,PRO3_20,45.51230788,-117.0045075,3.34,40.336214
SNW-Field-3,PRO3_29,45.50905804,-117.0087709,3.78,41.87623617
SNW-Field-3,PRO3_31,45.51464419,-117.0076448,3.61,37.55148551
SNW-Field-3,PRO3_32,45.50998676,-117.0073456,2.9,34.08852895
SNW-Field-3,PRO3_35,45.51506869,-117.0055642,3.67,32.14788205
SNW-Field-3,PRO3_37,45.51450181,-117.0022331,3.62,32.75912463
SNW-Field-3,PRO3_39,45.51058002,-117.0129955,3.5,21.97961362
SNW-Field-3,PRO3_41,45.50763236,-117.0142804,3.48,27.90589713
SNW-Field-3,PRO3_49,45.51219995,-117.0088064,3.25,19.67698743
SNW-Field-3,PRO3_51,45.51351701,-117.0095566,3.21,32.77039622
SNW-Field-3,PRO3_54,45.51428577,-117.0091835,3.19,33.79900994
SNW-Field-3,PRO3_60,45.51142073,-117.007511,3.52,38.20233973
SNW-Field-3,PRO3_81,45.50719314,-117.0065968,3.27,37.17404806
SNW-Field-3,PRO3_82,45.50737927,-117.0096783,3.53,33.30885652
SNW-Field-10,RIE10_1,45.36342748,-120.4442501,2.65,37.80654566
SNW-Field-10,RIE10_2,45.36374804,-120.4476878,2.51,37.26422082
SNW-Field-10,RIE10_3,45.35961287,-120.4414538,2.42,38.88958508
SNW-Field-10,RIE10_4,45.36002414,-120.4436383,2.45,39.13498383
SNW-Field-10,RIE10_5,45.36189197,-120.4471745,2.6,39.94009789
SNW-Field-10,RIE10_6,45.36549849,-120.4457884,2.27,35.23629956
SNW-Field-10,RIE10_6,45.36549849,-120.4457884,2.27,35.23629956
SNW-Field-10,RIE10_7,45.36870428,-120.4496239,2.4,39.49567494
SNW-Field-10,RIE10_8,45.36607983,-120.4457771,2.39,30.55665464
SNW-Field-10,RIE10_8,45.36607983,-120.4457771,2.39,30.55665464
SNW-Field-10,RIE10_8,45.36417915,-120.4440743,2.39,30.55665464
SNW-Field-10,RIE10_9,45.3656405,-120.4427649,2.01,31.78300437
SNW-Field-10,RIE10_9,45.3656405,-120.4427649,2.01,31.78300437
SNW-Field-10,RIE10_10,45.36597762,-120.4446423,2.39,39.02323401
SNW-Field-10,RIE10_10,45.36597762,-120.4446423,2.39,39.02323401
SNW-Field-10,RIE10_11,45.36076777,-120.4447444,2.62,41.09108893
SNW-Field-10,RIE10_12,45.35944857,-120.4418408,2.27,32.67764709
SNW-Field-10,RIE10_13,45.35872607,-120.4413879,2.78,38.67639086
SNW-Field-10,RIE10_14,45.3686269,-120.4494091,2.79,44.83551337
SNW-Field-10,RIE10_15,45.36208622,-120.446721,2.66,39.06284561
SNW-Field-10,RIE10_16,45.36735985,-120.4479793,2.31,40.46954089
SNW-Field-10,RIE10_17,45.36793459,-120.4497719,2.73,39.12371224
SNW-Field-10,RIE10_19,45.36696398,-120.4476498,2.74,42.00247805
SNW-Field-10,RIE10_20,45.36628771,-120.4467712,2.87,42.33160867
SNW-Field-10,RIE10_21,45.37133093,-120.4586128,2.65,41.13488716
SNW-Field-10,RIE10_22,45.36790211,-120.4478801,2.19,33.07762776
SNW-Field-10,RIE10_23,45.36586274,-120.4477804,2.49,37.52862028
SNW-Field-10,RIE10_24,45.36578361,-120.4463033,2.39,35.63660225
SNW-Field-10,RIE10_24,45.36578361,-120.4463033,2.39,35.63660225
SNW-Field-10,RIE10_25,45.3652997,-120.4432775,2.68,44.62135305
SNW-Field-10,RIE10_25,45.3652997,-120.4432775,2.68,44.62135305
SNW-Field-10,RIE10_26,45.36832816,-120.4470564,2.24,34.7706216
SNW-Field-10,RIE10_27,45.36880282,-120.4457681,2.29,37.53795961
SNW-Field-10,RIE10_28,45.36661601,-120.4452228,2.08,32.35399125
SNW-Field-10,RIE10_28,45.36661601,-120.4452228,2.08,32.35399125
SNW-Field-10,RIE10_29,45.36694222,-120.4441115,2.2,31.66996636
SNW-Field-10,RIE10_29,45.36694222,-120.4441115,2.2,31.66996636
SNW-Field-10,RIE10_30,45.36918717,-120.4501244,2.38,37.25037288
SNW-Field-10,RIE10_31,45.36247131,-120.4433958,2.44,37.08935005
SNW-Field-10,RIE10_32,45.36353103,-120.4420071,2.16,31.51151991
SNW-Field-10,RIE10_34,45.36571207,-120.4446471,2.34,34.7403493
SNW-Field-10,RIE10_34,45.36571207,-120.4446471,2.34,34.7403493
SNW-Field-10,RIE10_35,45.35951723,-120.4410832,2.38,35.10426085
SNW-Field-10,RIE10_36,45.36193771,-120.4446744,3.09,48.56190324
SNW-Field-10,RIE10_37,45.36112428,-120.44462,2.05,33.27375355
SNW-Field-10,RIE10_38,45.36335264,-120.4451182,2.38,34.6443797
SNW-Field-10,RIE10_39,45.36223719,-120.4452972,2.38,37.02043229
SNW-Field-10,RIE10_40,45.36146062,-120.4440891,2.49,33.83990974
SNW-Field-10,RIE10_41,45.36072685,-120.4429561,2.43,38.1894579
SNW-Field-10,RIE10_42,45.36289876,-120.4443789,2.63,38.36819321
SNW-Field-10,RIE10_43,45.36105993,-120.4417818,2.33,34.06662985
SNW-Field-10,RIE10_44,45.36569967,-120.445408,2.36,35.64529749
SNW-Field-10,RIE10_44,45.36569967,-120.445408,2.36,35.64529749
SNW-Field-10,RIE10_45,45.36320796,-120.4496423,2.09,29.54800774
SNW-Field-10,RIE10_46,45.37286479,-120.4593296,2.18,33.13720619
SNW-Field-10,RIE10_47,45.36062299,-120.4424387,2.43,38.18945789
SNW-Field-10,RIE10_48,45.37256988,-120.4594746,2.35,39.05125197
SNW-Field-10,RIE10_49,45.36140558,-120.4418858,2.34,42.35157551
SNW-Field-10,RIE10_50,45.36359902,-120.4477483,2.36,35.41728921
SNW-Field-10,RIE10_51,45.36424343,-120.4462774,2.31,32.73271689
SNW-Field-10,RIE10_51,45.36424343,-120.4462774,1.94,29.30164286
SNW-Field-10,RIE10_52,45.36932475,-120.4529014,2.08,32.88987515
SNW-Field-10,RIE10_53,45.36311782,-120.4499649,2.1,34.15293809
SNW-Field-10,RIE10_54,45.36881888,-120.4514052,2.46,39.61161135
SNW-Field-10,RIE10_56,45.3631766,-120.4478702,2.08,31.01428148
SNW-Field-10,RIE10_57,45.36577403,-120.443503,2.37,43.27616847
SNW-Field-10,RIE10_57,45.36577403,-120.443503,2.37,43.27616847
SNW-Field-10,RIE10_58,45.37039712,-120.457073,2.07,33.26505832
SNW-Field-10,RIE10_59,45.36496748,-120.4477333,2.23,36.62624846
SNW-Field-10,RIE10_60,45.36623815,-120.4478317,1.72,27.474356
SNW-Field-10,RIE10_62,45.36245229,-120.4481133,1.95,28.51069881
SNW-Field-10,RIE10_63,45.36515972,-120.4473295,1.77,27.13298764
SNW-Field-10,RIE10_64,45.36296097,-120.450158,2.22,32.67281642
SNW-Field-10,RIE10_65,45.37141747,-120.4591878,2.22,40.03671157
